role,allowConditions,domain,entity,action
Architect User,(false),architect,*,*
Architect User,(false),architect,datatable,search
Architect User,(false),architect,datatableRow,add
Architect User,(false),architect,datatableRow,view
Architect User,(false),architect,datatableRow,edit
Architect User,(false),architect,datatableRow,delete
Architect User,(false),architect,flowOutcome,search
Agent,(false),conversation,recording,pause
Agent,(false),conversation,message,view
Agent,(false),conversation,message,create
Agent,(false),conversation,message,accept
Agent,(false),gamification,leaderboard,view
Agent,(false),conversation,call,add
Agent,(false),conversation,call,record
Agent,(false),conversation,call,accept
Agent,(false),analytics,dataExport,add
Agent,(false),analytics,dataExport,view
Agent,(false),analytics,dataExport,edit
Agent,(false),analytics,dataExport,delete
Agent,(false),quality,evaluationForm,view
Agent,(false),recording,recording,view
Agent,(false),quality,evaluation,participate
Agent,(false),analytics,conversationDetail,view
Agent,(false),conversation,conference,add
Agent,(false),ui,agentDashboardStatus,view
Agent,(false),analytics,queueObservation,view
Agent,(false),responses,response,view
Agent,(false),analytics,userAggregate,view
Agent,(false),conversation,suggestionFeedback,add
Agent,(false),journey,event,view
Agent,(false),scripter,publishedScript,view
Agent,(false),scripter,publishedScript,search
Agent,(false),ui,agentDashboardPerformance,view
Agent,(false),gamification,scorecard,view
Agent,(false),routing,agent,onqueue
Agent,(false),responses,library,view
Agent,(false),externalContacts,conversation,associate
Agent,(false),recording,annotation,view
Agent,(false),quality,evaluation,editAgentSignoff
Agent,(false),recording,recordingSegment,view
Agent,(false),ui,agentQueueActivity,view
Agent,(false),quality,evaluation,view
Agent,(false),journey,sessiontype,view
Agent,(false),recording,screenRecording,participate
Agent,(false),wfm,agentAdherence,notify
Agent,(false),conversation,webmessaging,view
Agent,(false),conversation,webmessaging,create
Agent,(false),conversation,webmessaging,accept
Agent,(false),wfm,agentShiftTradeRequest,participate
Agent,(false),ui,agentDashboardEvaluations,view
Agent,(false),recording,annotation,delete
Agent,(false),coaching,appointment,participate
Agent,(false),quality,survey,participate
Agent,(false),conversation,email,forward
Agent,(false),conversation,email,create
Agent,(false),conversation,email,accept
Agent,(false),wfm,agentSchedule,view
Agent,(false),wfm,agentSchedule,utilizeLoadBased
Agent,(false),analytics,tabConfigurations,view
Agent,(false),analytics,tabConfigurations,edit
Agent,(false),analytics,tabConfigurations,delete
Agent,(false),learning,assignment,participate
Agent,(false),recording,media,record
Agent,(false),recording,recording,restore
Agent,(false),journey,session,view
Agent,(false),analytics,agentConversationDetail,view
Agent,(false),analytics,userObservation,view
Agent,(false),conversation,suggestion,view
Agent,(false),conversation,callback,create
Agent,(false),conversation,callback,accept
Agent,(false),journey,eventtype,view
Agent,(false),directory,user,view
Agent,(false),ui,agentActivity,view
Agent,(false),conversation,webchat,accept
Agent,(false),analytics,conversationAggregate,view
Agent,(false),routing,wrapupCode,view
Agent,(false),externalContacts,contact,add
Agent,(false),externalContacts,contact,view
Agent,(false),externalContacts,contact,edit
Agent,(false),externalContacts,contact,delete
Agent,(false),wfm,agentTimeOffRequest,submit
Agent,(false),recording,annotation,add
Agent,(false),acdvideo,session,view
Agent,(false),routing,queue,view
Agent,(false),routing,queue,search
Agent,(false),routing,queue,join
Agent,(false),quality,surveyForm,view
Agent Alerts,(false),alerting,alert,view
Agent Alerts,(false),alerting,alert,edit
Agent Alerts,(false),alerting,rule,add
Agent Alerts,(false),alerting,rule,view
Callback create,(false),conversation,callback,create
AI Agent,(false),analytics,journeyAggregate,view
AI Agent,(false),journey,settings,view
AI Agent,(false),journey,visit,*
AI Agent,(false),journey,customer,*
AI Agent,(false),journey,actionmap,view
AI Agent,(false),journey,segment,view
AI Agent,(false),journey,session,view
AI Agent,(false),journey,actiontarget,view
AI Agent,(false),journey,report,view
AI Agent,(false),journey,outcome,view
AI Agent,(false),journey,event,add
AI Agent,(false),journey,event,view
AI Agent,(false),journey,event,edit
Co browse,(false),acdscreenshare,*,*
Co browse,(false),acdvideo,*,*
Co browse,(false),cobrowse,*,*
Callflow Data Service Role,(false),integrations,integration,view
admin,(false),externalContacts,contact,*
admin,(false),telephony,*,*
admin,(false),limits,*,*
admin,(false),infrastructureascode,accelerator,view
admin,(false),routing,scheduleGroup,*
admin,(false),bridge,plugin,add
admin,(false),bridge,plugin,call
admin,(false),bridge,plugin,view
admin,(false),bridge,plugin,edit
admin,(false),bridge,plugin,delete
admin,(false),presence,source,add
admin,(false),presence,source,view
admin,(false),presence,source,edit
admin,(false),presence,source,delete
admin,(false),conversation,participant,attributesview
admin,(false),routing,callRoute,*
admin,(false),infrastructureascode,job,add
admin,(false),infrastructureascode,job,view
admin,(false),routing,emergencyGroup,*
admin,(false),externalContacts,customFields,*
admin,(false),documents,audit,search
admin,(false),presence,userPresence,edit
admin,(false),presence,settings,view
admin,(false),presence,settings,edit
admin,(false),presence,presenceDefinition,add
admin,(false),presence,presenceDefinition,edit
admin,(false),presence,presenceDefinition,delete
admin,(false),authorization,*,*
admin,(false),bridge,serverFile,add
admin,(false),bridge,serverFile,request
admin,(false),bridge,serverFile,view
admin,(false),audits,*,*
admin,(false),bridge,notification,add
admin,(false),bridge,notification,view
admin,(false),chat,setting,view
admin,(false),chat,setting,edit
admin,(false),bridge,publisher,view
admin,(false),externalContacts,identity,promote
admin,(false),externalContacts,identity,merge
admin,(false),bridge,actions,add
admin,(false),bridge,actions,view
admin,(false),bridge,actions,edit
admin,(false),bridge,actions,delete
admin,(false),bridge,actions,execute
admin,(false),integrations,action,*
admin,(false),analytics,queueObservation,view
admin,(false),agentUI,*,*
admin,(false),externalContacts,externalEntity,*
admin,(false),voicebots,*,*
admin,(false),webDeployments,configuration,*
admin,(false),billing,subscription,add
admin,(false),billing,subscription,view
admin,(false),webchat,deployment,*
admin,(false),wfm,schedulingrequest,add
admin,(false),wfm,schedulingrequest,view
admin,(false),webDeployments,deployment,*
admin,(false),presence,userPrimarySource,view
admin,(false),presence,userPrimarySource,edit
admin,(false),geolocation,settings,edit
admin,(false),routing,schedule,*
admin,(false),bridge,server,add
admin,(false),bridge,server,view
admin,(false),bridge,server,edit
admin,(false),bridge,server,delete
admin,(false),directory,*,*
admin,(false),routing,skill,*
admin,(false),voicemail,groupPolicy,view
admin,(false),voicemail,groupPolicy,edit
admin,(false),analytics,userAggregate,view
admin,(false),oauth,*,*
admin,(false),gdpr,*,*
admin,(false),widgets,deployment,*
admin,(false),attributes,attribute,add
admin,(false),attributes,attribute,view
admin,(false),attributes,attribute,edit
admin,(false),attributes,attribute,delete
admin,(false),integrations,integration,add
admin,(false),integrations,integration,view
admin,(false),integrations,integration,edit
admin,(false),integrations,integration,delete
admin,(false),bridge,pluginType,add
admin,(false),bridge,pluginType,edit
admin,(false),chat,file,delete
admin,(false),externalContacts,externalOrganization,*
admin,(false),wfm,adhocModel,add
admin,(false),wfm,adhocModel,view
admin,(false),conversation,settings,view
admin,(false),conversation,settings,edit
admin,(false),analytics,conversationDetail,view
admin,(false),wfm,adhocForecast,add
admin,(false),wfm,adhocForecast,view
admin,(false),cobrowse,deployment,manage
admin,(false),analytics,dataRetention,*
Genesys Cloud Voice Admin,(false),telephony,sites,view
Genesys Cloud Voice Admin,(false),purecloudvoice,number,add
Genesys Cloud Voice Admin,(false),purecloudvoice,number,view
Genesys Cloud Voice Admin,(false),purecloudvoice,number,edit
Genesys Cloud Voice Admin,(false),purecloudvoice,number,delete
integrationServer,(false),integration,unifiedCommunications,view
integrationServer,(false),directory,*,*
integrationServer,(false),directory,user,*
integrationServer,(false),integration,*,*
Communicate - Admin,(false),architect,systemPrompt,*
Communicate - Admin,(false),architect,ui,*
Communicate - Admin,(false),telephony,phone,assign
Communicate - Admin,(false),architect,flow,*
Communicate - Admin,(false),architect,userPrompt,*
Communicate - Admin,(false),architect,vxmlOperation,*
Communicate - Admin,(false),bridge,actions,view
Communicate - Admin,(false),architect,dependencyTracking,*
Embeddable Framework User,(false),integration,customEmbeddableFramework,*
Communicate - User,(false),voicemail,voicemail,receive
Communicate - User,(false),conversation,call,add
Communicate - User,(false),conversation,call,record
Communicate - User,(false),conversation,conference,add
Knowledge,(false),knowledge,*,*
Knowledge,(false),analytics,knowledgeAggregate,*
Knowledge,(false),uploads,*,*
External Contacts Read Only,(false),externalContacts,externalOrganization,view
External Contacts Read Only,(false),externalContacts,contact,view
Engage Supervisor,(false),analytics,queueObservation,view
Engage Supervisor,(false),coaching,appointment,add
Engage Supervisor,(false),coaching,appointment,view
Engage Supervisor,(false),reporting,interactions,view
Engage Supervisor,(false),ui,supervisorQueueDetails,view
Engage Supervisor,(false),conversation,conference,add
Engage Supervisor,(false),analytics,flowObservation,view
Engage Supervisor,(false),learning,module,view
Engage Supervisor,(false),conversation,webchat,accept
Engage Supervisor,(false),learning,assignment,*
Engage Supervisor,(false),mobile,supervisor,view
Engage Supervisor,(false),ui,supervisorStatusControl,view
Engage Supervisor,(false),analytics,userAggregate,view
Engage Supervisor,(false),routing,wrapupCode,view
Engage Supervisor,(false),analytics,tabConfigurations,*
Engage Supervisor,(false),conversation,communication,disconnect
Engage Supervisor,(false),conversation,communication,view
Engage Supervisor,(false),conversation,communication,transfer
Engage Supervisor,(false),conversation,communication,target
Engage Supervisor,(false),directory,user,view
